x,y,interannual_variability,water_stress,pop_density_log,population_density_km2,cropland_percent,irrigated_percent,landcover_diversity,grazing_intensity_log,livestock_density_km2,soc_0_30cm_kg_m2,soc_0_30cm_t_ha,governance_perc_rank,road_density_log,shdi_2022,mean_annual_precipitation,aridity_index
7.75,44.25,2.61020636558533,2.6714334487915,4.36772212108477,77.8637847900391,23.9783957600594,0.0555555569007993,0.577492296695709,4.10868051496218,59.8663523197174,5.80561017990112,58.0561017990112,70.4018936157227,6.59362578775246,0.912000000476837,858.444458007812,0.749067068099976
8.25,44.25,2.61020636558533,2.6714334487915,5.23629277268944,186.971954345703,5.34555315971375,0.0157337839482352,0.420899301767349,2.77367607953243,15.0174071788788,6.13143491744995,61.3143491744995,70.4018936157227,7.05186534625819,0.912999987602234,841.5,0.713508188724518
8.75,44.25,NA,NA,7.16002054901503,1285.93737792969,0.784705393016338,0,0.559969782829285,NA,NA,7.4786319732666,74.786319732666,NA,NA,NA,1108.5,NA
9.25,44.25,NA,NA,5.81744289276978,335.111480712891,0.503327092155814,0,0.323608636856079,NA,NA,8.44873428344727,84.4873428344727,NA,NA,NA,1436.33337402344,NA
9.75,44.25,2.4573061466217,2.99484252929688,5.07884728894679,159.588836669922,3.16093116998672,0.00801249916548841,0.31731441617012,2.38038808262969,9.80909687280655,8.29802894592285,82.9802894592285,70.4018936157227,7.11054295037478,0.912999987602234,1341.11108398438,1.36118233203888
10.25,44.25,2.4573061466217,2.99484252929688,4.73584281522465,112.959465026855,5.19224740564823,0.10315723484382,0.424251586198807,2.97504157830656,18.5904377698898,8.70234107971191,87.0234107971191,70.4018936157227,6.91397721553574,0.921000003814697,1457,1.37441980838776
10.75,44.25,1.81168782711029,0,4.18391940157704,64.6225509643555,19.5789739489555,0.191375741269439,0.559616684913635,3.44134786323143,30.2290222644806,7.8515248298645,78.515248298645,70.4018936157227,6.86157315500915,0.935000002384186,1250.88891601562,1.1387825012207
11.25,44.25,2.38855719566345,5,5.39775056025023,219.908935546875,23.4625488519669,0,0.605002999305725,2.9637011000837,18.3695278167725,6.515953540802,65.15953540802,70.4018936157227,6.92410544171393,0.935000002384186,1094.33337402344,0.926750242710114
11.75,44.25,2.38855719566345,5,5.05192797860585,155.32356262207,57.9930245876312,0,0.514305770397186,2.57944962136413,12.1898767352104,5.47115755081177,54.7115755081177,70.4018936157227,6.71067557420603,0.935000002384186,876.555541992188,0.806515574455261
12.25,44.25,2.05893063545227,4.44919919967651,5.93542698100076,377.201446533203,80.6434869766235,0,0.32366406917572,2.72777082852392,14.2987454533577,4.77897071838379,47.7897071838379,70.4018936157227,7.81867183015683,0.935000002384186,738.25,0.683963418006897
